CREATING A HABITABLE ENVIRONMENT	CREATING A HABITABLE ENVIRONMENT
Defining it would include a refining of the question at hand to a more straight forward one .	Defining it would include a refining of the question at hand to a more straight forward one .
With the current issue being a hungry population to be fed , the definition for this would be that the food production needs to meet the requirements of the people .	With the current issue being a hungry population to be fed , the definition for this would be that the food production needs to meet the requirements of the people .
The next step towards achieving this goal would be to gather information on certain aspects relating to his " pictured " solution .	The next step towards achieving this goal would be to gather information on certain aspects relating to his " pictured " solution .
For example , if his idea is to produce plants which give much greater yield , he needs to assess the yield of existing plants .	For example , if his idea is to produce plants which give much greater yield , he needs to assess the yield of existing plants .
From that point onwards he could design different possible approaches to what he expects to do .	From that point onwards he could design different possible approaches to what he expects to do .
He could genetically modify the plants genome to match with a plant that gives greater <product> or he could create a new genetic material for a higher yielding food plant .	He could genetically modify the plants genome to match with a plant that gives greater <yield potential> or he could create a new genetic material for a higher yielding food plant .
Looking at this third step we realize why the second stage of an engineering design process of gathering information is important.Once all the information is put together into the different possible solutions , the engineer is put to decide which method out of the lot is suited best for the purpose and <if> agrees with existing international laws .	Looking at this third step we realize why the second stage of an engineering design process of gathering information is important.Once all the information is put together into the different possible solutions , the engineer is put to decide which method out of the lot is suited best for the purpose and agrees with existing international laws .
At this point also any available detail into the viability of the method is valuable .	At this point also any available detail into the viability of the method is valuable .
Lastly comes the most crucial part of an engineering design process .	Lastly comes the most crucial part of an engineering design process .
This determines how accurate the engineer <might> have been in his work and also if he <looked> at nature as a <considerable> factor during his designing process .	This determines how accurate the engineer <has> been in his work and also if he <has looked> at nature as a factor during his designing process .
The testing stage is usually either the most rewarding or <heart-> breaking stage of a design process .	The testing stage is usually either the most rewarding or <the most heart-> breaking stage of a design process .
Even though the solution seems perfect according to calculations , there are " nature factors " that we can not control which still affect any process <we> carry under the sun .	Even though the solution seems perfect according to calculations , there are " nature factors " that we can not control which still affect any process under the sun .
It is likely that this genetically modified plant <was> give three hundred percent yield is actually not surviving until harvest .	It is likely that this genetically modified plant <with> three hundred percent yield is actually not surviving until harvest .
If that is the case , what the engineer would do is <analyze> the problem at hand and point out exactly which part of the solution needs to be modified .	If that is the case , what the engineer would do is <to analyze> the problem at hand and point out exactly which part of the solution needs to be modified .
Another aspect of great engineers is their ability to optimize processes .	Another aspect of great engineers is their ability to optimize processes .
This includes less useless waste , more recyclable waste material and high productivity .	This includes less useless waste , more recyclable waste material and high productivity .
So any engineering process can be continuously modified into a faster , better and greener one .	So any engineering process can be continuously modified into a faster , better and greener one .
It is self-explanatory that every engineering design process is naturally a cyclic process .	It is self-explanatory that every engineering design process is naturally a cyclic process .
There is no definite correct solution for the question at hand .	There is no definite correct solution for the question at hand .
With the many possible solutions , what a smart engineer does <he> figures <the> best solution and <introduces> the best way of executing it , so that the need is fulfilled immediately and effectively .	With the many possible solutions , what a smart engineer does <is to figure> <out the> best solution and <introduce> the best way of executing it , so that the need is fulfilled immediately and effectively .
The process of developing a new product based on innovation is not an easy task for <the> innovators .	The process of developing a new product based on innovation is not an easy task for innovators .
<The> innovators , who <are> normally work <under> <Research> and Development department , have to recognize the needs from the public or through research , <are> <require> to spend countless days and nights to understand the problems , to produce solutions to the problems , to convert the solutions into practical products and to commercialize them .	<Innovators> , who normally work <with> <a Research> and Development department , have to recognize the needs from the public or through research , <and are required> <required> to spend countless days and nights to understand the problems , to produce solutions to the problems , to convert the solutions into practical products and to commercialize them .
<By> diffusion and adoption of the innovation products by the public or specific users , <the> innovators have to face the consequences .	<Through distribution> and adoption of the innovation products by the public or specific users , innovators have to face the consequences .
These are not the only challenges that <the> innovators are going to deal with .	These are not the only challenges that innovators are going to deal with .
In order to <process> from the initial stage of innovation development to the final stage , the most important issue is to have a huge sum of fund for development and commercial purposes .	In order to <proceed> from the initial stage of innovation development to the final stage , the most important issue is to have a huge sum of fund for development and commercial purposes .
So , the manufacture company , for example , the company that <the> innovators are working for , is one of the major investors that is providing the fund .	So , the manufacture company , for example , the company that innovators are working for , is one of the major investors that is providing the fund .
Innovators <required> development fund in order to <obtain> their needs , such as hardware equipments <,> to work on their prototypes .	Innovators <require> development fund in order to <meet> their needs , such as hardware equipments to work on their prototypes .
But at times , <there> are some critical situations that happen or affect <to> the manufacturing company <,> the innovators somehow <get> to be involve too .	But at times , <critical situations can happen to> or affect the manufacturing company <; then> the innovators somehow <need> to be involve too .
For example , if the manufacturing company did not earn profit in the market , then in order to reduce the cost and prevent the loss from getting worse , the manufacturing company has to stop funding the innovators for <their> prototypes development .	For example , if the manufacturing company did not earn profit in the market , then in order to reduce the cost and prevent the loss from getting worse , the manufacturing company has to stop funding the innovators for <the development of their prototypes> .
Then the innovators have to stop all <works> for the development .	Then the innovators have to stop all <work> for the development .
For another example , during this recent economic downturn , most of the major manufacturing companies are slowing down in manufacturing <productions> and <releasing> of new products .	For another example , during this recent economic downturn , most of the major manufacturing companies are slowing down in manufacturing <existing products> and <releasing> new products .
This shows that <the> manufacturing companies are trying to reduce the unnecessary burden to maintain the companies ' stand .	This shows that manufacturing companies are trying to reduce the unnecessary burden to maintain the companies ' stand .
Therefore , this is one of the major factors that will definitely affect <the> innovators from developing innovation products .	Therefore , this is one of the major factors that will definitely affect innovators from developing innovation products .
Another challenge that <the> innovators need to be <concern> about is commercializing the <finalize> products .	Another challenge that innovators need to be <concerned> about is commercializing the <finalized> products .
In this final stage , it is all about <how> packaging , marketing and distribution of the products .	In this final stage , it is all about packaging , marketing and distribution of the products .
There are cases <that> marketing <department> do not wish to market the innovated products due to various reasons .	There are cases <where> marketing <departments> do not wish to market the innovated products due to various reasons .
For example , the marketing department thinks that the <innovated> products are not relevant to what the company is selling .	For example , the marketing department thinks that the <new> products are not relevant to what the company is selling .
Therefore , the <innovated> products are unable to <meet> the consumers .	Therefore , the <new> products are unable to <reach> the consumers .
Another example <is> the marketing department has set the price of the <innovated> product too high ; therefore , <they> fail to obtain the sales target for <the> selling the <innovated> product .	Another example <is that> the marketing department has set the price of the <new> product too high ; therefore , <it fails> to obtain the sales target for selling the <new> product .
So , this is another major factor that <the> innovators have to <face> .	So , this is another major factor that innovators have to <consider> .
In brief , innovators have to face many challenges when they want to develop <the> products .	In brief , innovators have to face many challenges when they want to develop <new> products .
They have to obtain fund from <the> investors in order to develop their innovation prototypes and require help from the marketing department to have their innovation products for sales in the marketplace .	They have to obtain fund from investors in order to develop their innovation prototypes and require help from the marketing department to have their innovation products for sales in the marketplace .
However , these procedures might become another <challenges> for the innovators .	However , these procedures might become another <challenge> for the innovators .
Title : Obstacles for engineering design in China	Title : Obstacles for engineering design in China
Engineering design is defined as a process that brings ideas or theories into physical representations which <satisfies> human needs .	Engineering design is defined as a process that brings ideas or theories into physical representations which <satisfy> human needs .
In an engineering design , there are usually five steps : define problems , gather related information , generate various solutions , analyze and select a solution and test and modify the solution .	In an engineering design , there are usually five steps : define problems , gather related information , generate various solutions , analyze and select a solution and test and modify the solution .
Because <Engineering> designs are always related to real <problem> , during the five processes , the obstacles they face are more than theories and calculations on paper .	Because <engineering> designs are always related to real <problems> , during the five processes , the obstacles they face are more than theories and calculations on paper .
The obstacles for engineering designs may differ from nation to nation .	The obstacles for engineering designs may differ from nation to nation .
In my home country , China , the two most representative problems are political issues and financial issues .	In my home country , China , the two most representative problems are political issues and financial issues .
Political issues usually become <realized> in the beginning and final steps , especially in the last step .	Political issues usually become <relevant> in the beginning and final steps , especially in the last step .
In the beginning step , we have to define the problem in a clear and unambiguous way .	In the beginning step , we have to define the problem in a clear and unambiguous way .
Besides , a clear recognition of the real need is also important .	Besides , a clear recognition of the real need is also important .
However , in some cities of China , the government wants to minimize the time spending on problem solving process to show their ability in handling problems <and> <force> the engineers to skip the first step or just accept the information the government provides .	However , in some cities of China , the government wants to minimize the time spending on problem solving process to show their ability in handling problems <and thus> <forces> the engineers to skip the first step or just accept the information the government provides .
<And> in the end such a design may <turn> to be useless as it does not meet people 's demand .	<In> the end such a design may <turn out to> be useless as it does not meet people 's demand .
In the last step of design , political issues <also> <disturb> the process significantly .	In the last step of design , political issues <can also> <disrupt> the process significantly .
For example , in my hometown Harbin , the government decided to develop an underground traffic system .	For example , in my hometown Harbin , the government decided to develop an underground traffic system .
This design was welcomed by most of the citizens and the whole design process was carefully carried out .	This design was welcomed by most of the citizens and the whole design process was carefully carried out .
However , <when> the design had been carried out for a few weeks , it was stopped .	However , <after> the design had been carried out for a few weeks , it was stopped .
The government 's explanation was <because> of safety consideration for earthquakes and some other disasters .	The government 's explanation was safety consideration for earthquakes and some other disasters .
But such <explanation> was <of> non-sense as the engineers did not see such <possibility> during their designing ; otherwise the design would not be carried out at all .	But such <an explanation> was non-sense as the engineers did not see such <a possibility> during their designing ; otherwise the design would not be carried out at all .
Some evidences showed that the reason <of> <halt> of <work> was that the higher level <of> authorities thought an underground traffic system was not necessary for Harbin .	Some evidences showed that the reason <for> <the halt> of <the work> was that the higher level authorities thought an underground traffic system was not necessary for Harbin .
In this example , there is nothing wrong with the original design work , but the design still can not be carried out due to political <inconsistent> between the city government and higher level authorities .	In this example , there is nothing wrong with the original design work , but the design still can not be carried out due to political <inconsistency> between the city government and higher level authorities .
The similarities of political obstacles in both two steps are that such problems can not be easily solved by the engineering group <,> in other words , the political problems are unavoidable to some degree .	The similarities of political obstacles in both two steps are that such problems can not be easily solved by the engineering group <;> in other words , the political problems are unavoidable to some degree .
Another problem , financial issue , is quite common during <design> process .	Another problem , financial issue , is quite common during <the design> process .
It affects the analyzing and <test> step most seriously though it can affect almost every step of design work .	It affects the analyzing and <testing> step most seriously though it can affect almost every step of design work .
For most design work , <the> engineers are <always> employed by some organizations or companies .	For most design work , engineers are <usually> employed by some organizations or companies .
Without financial support , the collection of relative information and research of the various solutions have to be done in a simpler manner , and may lead to the final failure of a design project .	Without financial support , the collection of relative information and research of the various solutions have to be done in a simpler manner , and may lead to the final failure of a design project .
During these two steps , different solutions should be carried out in a smaller scale to examine their characteristics and to test their performance in order to make a decision .	During these two steps , different solutions should be carried out in a smaller scale to examine their characteristics and to test their performance in order to make a decision .
If not enough fund is provided , the experiment may not be as precise as it should be to minimize the cost .	If not enough fund is provided , the experiment may not be as precise as it should be to minimize the cost .
Such simplification may lead to an incorrect choice .	Such simplification may lead to an incorrect choice .
Besides , the lack of financial support or sudden stop in the financial support may even lead to the <incomplete> of a project .	Besides , the lack of financial support or sudden stop in the financial support may even lead to the <incompletion> of a project .
For instance , there is one half-built bridge near my home .	For instance , there is one half-built bridge near my home .
It was hamstrung by lack of funds .	It was hamstrung by lack of funds .
Compared to the political issues , the financial problem affects more steps <and> more common around the world .	Compared to the political issues , the financial problem affects more steps <and is more> common around the world .
But engineers still can do little to avoid such problems	But engineers still can do little to avoid such problems
In conclusion , the two most significant problems that hamper the engineering design process are political and financial problems .	In conclusion , the two most significant problems that hamper the engineering design process are political and financial problems .
Both <of> these two problems , though affecting different processes , can lead to a <completely> failure of a project .	Both <these> problems , though affecting different processes , can lead to a <complete> failure of a project .
Therefore , governments and authorities should pay more attention to these problems in order to get better design work for the country .	Therefore , governments and authorities should pay more attention to these problems in order to get better design work for the country .
Legend has it that the world is created by God .	Legend has it that the world is created by God .
This may be true ; however , God did n't give us a perfect world .	This may be true ; however , God did n't give us a perfect world .
Humankind always has needs and demands because people want to lead <more> comfortable and easier life .	Humankind always has needs and demands because people want to lead <a more> comfortable and easier life .
So , they try to invent things which could help them achieve their goals .	So , they try to invent things which could help them achieve their goals .
Therefore , in modern society , engineering has become more important ; the role of an engineer is to design a safe and efficient product or a system that minimizes the damages to the environment or brings benefits to the human kind .	Therefore , in modern society , engineering has become more important ; the role of an engineer is to design a safe and efficient product or a system that minimizes the damages to the environment or brings benefits to the human kind .
There are various fields <which> engineering plays an important role in our daily lives , such as entertainment , healthcare , transportation , real estate , and so on .	There are various fields <in which> engineering plays an important role in our daily lives , such as entertainment , healthcare , transportation , real estate , and so on .
<As> what Khandani ( 2005 ) said , a company 's survival depends on whether its products are in high demand by the society or not .	<According to Khandani (2005)> , a company 's survival depends on whether its products are in high demand by the society or not .
Most companies are more interested to invent entertainment electronic goods such as flat LCD screens , smaller and smaller mp3/mp4 players , touch screen hand phones , more portable laptops , and so on which are <most> demanded in the market .	Most companies are more interested to invent entertainment electronic goods such as flat LCD screens , smaller and smaller mp3/mp4 players , touch screen hand phones , more portable laptops , and so on which are <in greatest demand> in the market .
Though these products are highly sought-after and trendy , they are not the most essential things to people unlike healthcare products .	Though these products are highly sought-after and trendy , they are not the most essential things to people unlike healthcare products .
For example , a person can lead his life peacefully without a laptop or hand phone , but , can a person survive happily with the absence of good health ?	For example , a person can lead his life peacefully without a laptop or hand phone , but , can a person survive happily with the absence of good health ?
The answer should be 'No ' as health is the first priority in a person 's life .	The answer should be 'No ' as health is the first priority in a person 's life .
If a person is feeling unwell , he will have no mood to enjoy any other facilities and products .	If a person is feeling unwell , he will have no mood to enjoy any other facilities and products .
Thus , one current human need that should be given priority is nothing else than healthcare products .	Thus , one current human need that should be given priority is nothing else than healthcare products .
Among quite a number of healthcare products available in market , prosthetic limbs play <one> the most important roles .	Among quite a number of healthcare products available in market , prosthetic limbs play <one of the> most important roles .
Prosthetic limbs are artificial legs or arms which replace the missing parts of the body .	Prosthetic limbs are artificial legs or arms which replace the missing parts of the body .
They are needed for various reasons , including congenital defects , accidents or <because> of some diseases .	They are needed for various reasons , including congenital defects , accidents or some diseases .
Losing a body part can make a person 's life miserable .	Losing a body part can make a person 's life miserable .
They may lose not only mobility but also self-confidence .	They may lose not only mobility but also self-confidence .
In this case , prosthetics limbs can help those disabled people to regain their mobility and confidence .	In this case , prosthetics limbs can help those disabled people to regain their mobility and confidence .
So , designing the prosthetic limbs should be encouraged as it can really change a person 's life .	So , designing the prosthetic limbs should be encouraged as it can really change a person 's life .
According to Khandani ( 2005 ) ,to design an efficient and safe artificial limb may usually need five basic design <processes> which are defining the problem , gathering pertinent information , generating possible solutions , analyzing and selecting the best possible solution and finally testing and implementing it .	According to Khandani ( 2005 ) ,to design an efficient and safe artificial limb may usually need five basic design <processes,> which are defining the problem , gathering pertinent information , generating possible solutions , analyzing and selecting the best possible solution and finally testing and implementing it .
When defining the problem , the cost , safety and liability , comfort , ergonomic and simplicity must be taken into account .	When defining the problem , the cost , safety and liability , comfort , ergonomic and simplicity must be taken into account .
For example , most of the disabled can not afford to spend a lot of money on those prosthetic limbs or some of them have an allergy to the materials used in the product .	For example , most of the disabled can not afford to spend a lot of money on those prosthetic limbs or some of them have an allergy to the materials used in the product .
Before considering the possible solutions , we need to collect all the information that relates to the problem so that we can avoid redefinition and wasting time .	Before considering the possible solutions , we need to collect all the information that relates to the problem so that we can avoid redefinition and wasting time .
After we confirm that the problem is real and a new solution is needed , we then proceed to step 3 in which we have to brainstorm the multiple solutions .	After we confirm that the problem is real and a new solution is needed , we then proceed to step 3 in which we have to brainstorm the multiple solutions .
In this step , we can do it in two ways : to improve the existing idea by finding out the weaknesses or to come up with a totally new and creative idea by researching and testing .	In this step , we can do it in two ways : to improve the existing idea by finding out the weaknesses or to come up with a totally new and creative idea by researching and testing .
Once we have alternative solutions to the design problem , we can analyze them and decide which one should be the most suitable for the needs .	Once we have alternative solutions to the design problem , we can analyze them and decide which one should be the most suitable for the needs .
Finally , we can implement and test the design we have chosen and if we find any problems , we can go back to step 4 and select another solution .	Finally , we can implement and test the design we have chosen and if we find any problems , we can go back to step 4 and select another solution .
Well designed prosthetic legs can give a disabled person a new taste of life .	Well designed prosthetic legs can give a disabled person a new taste of life .
According to the article about an amputee sprinter , Oscar Pistorius , who does not have both legs but wants to take part in 2008 Olympics with his J-shaped blades ( artificial legs ) made of carbon fibers , confidently said that " there is nothing he can not do that able-bodied athletes can do .	According to the article about an amputee sprinter , Oscar Pistorius , who does not have both legs but wants to take part in 2008 Olympics with his J-shaped blades ( artificial legs ) made of carbon fibers , confidently said that " there is nothing he can not do that able-bodied athletes can do .
" This is the proof <that> how a successful design can be beneficial to a needy person .	" This is the proof <of> how a successful design can be beneficial to a needy person .
To sum up , apart from the prosthetic legs , there are still many other areas in healthcare industry that need to be improved such as artificial kidney , artificial hearts , pacemakers , medical imaging and diagnosis devices which are very advantageous to humankind .	To sum up , apart from the prosthetic legs , there are still many other areas in healthcare industry that need to be improved such as artificial kidney , artificial hearts , pacemakers , medical imaging and diagnosis devices which are very advantageous to humankind .
<Government> should also <more> encouraging the research and development of these products .	<Governments> should also <encourage more> the research and development of these products .
With the systematic design processing , there will be more upcoming amazing healthcare products in the future .	With the systematic design processing , there will be more upcoming amazing healthcare products in the future .
In present days , engineers need to be creative and innovative in order to come up with new products .	In present days , engineers need to be creative and innovative in order to come up with new products .
However , there are many problems that will hinder the engineering design process .	However , there are many problems that will hinder the engineering design process .
We will focus our attention on the component decision process which will determine the type of raw materials to be used and the safety of the end product .	We will focus our attention on the component decision process which will determine the type of raw materials to be used and the safety of the end product .
The cost of raw materials has risen significantly from the year 2003 to <year> 2009 and it has affected the electronics supply chain .	The cost of raw materials has risen significantly from the year 2003 to <the year> 2009 and it has affected the electronics supply chain .
We will look at two very important components in the manufacture of electronic components , gold and copper .	We will look at two very important components in the manufacture of electronic components , gold and copper .
The price of gold has risen from about US $ 380/troy ounce in June 2003 to about US $ 960/troy ounce in June 2009 ( " Trend " ) .1 Gold is a very important component in electrical conductivity and thus <often> used in contact points such as the communicating interface between the graphics card and the motherboard .	The price of gold has risen from about US $ 380/troy ounce in June 2003 to about US $ 960/troy ounce in June 2009 ( " Trend " ) .1 Gold is a very important component in electrical conductivity and thus <is often> used in contact points such as the communicating interface between the graphics card and the motherboard .
Hence designs that need <large> amount of gold may not be feasible .	Hence designs that need <a large> amount of gold may not be feasible .
Another component is copper .	Another component is copper .
Copper has good electrical conductivity which allows the conductor channel lengths and widths to be significantly reduced .	Copper has good electrical conductivity which allows the conductor channel lengths and widths to be significantly reduced .
This results in faster operating speed and greater circuit integration .	This results in faster operating speed and greater circuit integration .
However , the price of copper has risen from about US $ 1900/tonne in June 2003 to about US $ 6200/tonne in June 2009 ( " Trend " ) .1	However , the price of copper has risen from about US $ 1900/tonne in June 2003 to about US $ 6200/tonne in June 2009 ( " Trend " ) .1
